Страница или кластер;Что было;Что предлагается;Тип изменения;Причина;Влияние на текущий URL;Необходимость редиректа;SEO-риск;Приоритет
/sozdanie-sajtov-v-kazakhstane-sovremennye-tendencii-i-luchshie-praktiki;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Слабые дубли коммерческого интента объединяются с основной услугой.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-petropavlovske-kupit-sajt-v-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация нескольких страниц под один локальный коммерческий интент.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-petropavlovske-zakazat-sajt-v-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация нескольких страниц под один локальный коммерческий интент.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/veb-studiya-v-petropavlovske-zakazat-sajt-v-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/web-studiya/seo-prodvizhenie;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /seo-prodvizhenie-sajtov;Да;Средний: проверить перенос контента и релевантность;P3
/zakazat-sajt-dlya-biznesa-v-petropavlovske-studiya-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/zakazat-sajt-dlya-prodvizheniya-biznesa-v-kazakhstane-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Общий коммерческий интент создания сайтов.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
/zakazat-sajt-vizitku-v-petropavlovske-studiya-raskrutov;Старый URL (GSC/sitemap);/web-studiya/sozdanie-saitov/sayt-vizitka;REDIRECT;Дубль услуги сайта-визитки.;301 на /web-studiya/sozdanie-saitov/sayt-vizitka;Да;Средний: проверить перенос контента и релевантность;P3
/zakazat-sozdanie-internet-magazina-v-petropavlovske-raskrutov;Старый URL (GSC/sitemap);/web-studiya/sozdanie-saitov/internet-magazin;REDIRECT;Дубль услуги создания интернет-магазинов.;301 на /web-studiya/sozdanie-saitov/internet-magazin;Да;Средний: проверить перенос контента и релевантность;P3
/zakazat-sozdanie-sajtov-v-kazakhstane-veb-studiya-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Слабые дубли коммерческого интента объединяются с основной услугой.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
Digital-стратегия;/web-studiya/digital-konsalting/digital-strategiya;/web-studiya/digital-konsalting/digital-strategiya;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
Аудит продвижения;/web-studiya/digital-konsalting/audit-prodvizheniya;/web-studiya/digital-konsalting/audit-prodvizheniya;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
Аудит сайта;/web-studiya/digital-konsalting/audit-sayta;/web-studiya/digital-konsalting/audit-sayta;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
Благодарственные письма;/o-kompanii/blagodarstvennye-pisma;/o-kompanii/blagodarstvennye-pisma;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
Блог;/o-kompanii/blog;/blog;UPDATE;Выносим блог из раздела «О компании» в самостоятельный информационный хаб /blog.;Новая страница;Да, если старый URL опубликован;Средний;P3
Вакансии;/o-kompanii/vakansii;/o-kompanii/vakansii;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
Консультация для бизнеса;/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa;/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
Наши клиенты;/o-kompanii/klienty;/nashi-klienti;UPDATE;Сохраняем /nashi-klienti: URL имеет клики, показы и позиции GSC.;Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P3
Нейминг;/web-studiya/dizayn/neyming;/web-studiya/dizayn/neyming;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
О нас;/o-kompanii/o-nas;/about-us;UPDATE;"Сохраняем /about-us с кликами и показами GSC; новый дубль /o-kompanii/o-nas перенаправляем.";Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P3
Создание брендбука;/web-studiya/dizayn/brendbuk;/web-studiya/dizayn/brendbuk;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
Создание логотипа;/web-studiya/dizayn/logotip;/web-studiya/dizayn/logotip;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P3
/page84;Старый URL (GSC/sitemap);Удалить / закрыть от индексации;REMOVE;Технический/временный URL без понятного назначения.;URL перестаёт индексироваться;Нет;"Высокий при наличии внешних ссылок; проверить перед удалением";P3
/soundtrack;Старый URL (GSC/sitemap);Удалить / закрыть от индексации;REMOVE;"Нерелевантная страница не относится к услугам Raskrutov; редирект на услугу был бы нерелевантным.";URL перестаёт индексироваться;Нет;"Высокий при наличии внешних ссылок; проверить перед удалением";P3
/Preimushestva-sozdaniya-saitov-s-Raskrutov;Старый URL (GSC/sitemap);/Preimushestva-sozdaniya-saitov-s-Raskrutov;NOINDEX;"Назначение не подтверждено автоматически; требуется ручная проверка контента.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P3
/Sozdaite-uspeshnyi-sait-s-Raskrutov-Put-k-uvelicheniyu-prodazh;Старый URL (GSC/sitemap);/Sozdaite-uspeshnyi-sait-s-Raskrutov-Put-k-uvelicheniyu-prodazh;NOINDEX;"Назначение не подтверждено автоматически; требуется ручная проверка контента.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P3
/kak-vybrat-kompaniyu-dlya-sozdaniya-i-prodvizheniya-sajta;Старый URL (GSC/sitemap);/kak-vybrat-kompaniyu-dlya-sozdaniya-i-prodvizheniya-sajta;NOINDEX;"Назначение не подтверждено автоматически; требуется ручная проверка контента.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P3
/vebinarnie-meropriyatiya;Старый URL (GSC/sitemap);/vebinarnie-meropriyatiya;NOINDEX;"Направление не подтверждено в текущем перечне услуг; оставить до ручного решения без индексации.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P3
/web-studiya/almaty;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Алматы;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P1
/web-studiya/dizayn/almaty;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Алматы;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/almaty;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Алматы;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/kontekstnaya-reklama/almaty;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Алматы;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/lidogeneratsiya/almaty;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Алматы;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/podderzhka-saytov/almaty;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Алматы;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/digital-konsalting/almaty;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Алматы;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/astana;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Астана;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P1
/web-studiya/dizayn/astana;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Астана;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/astana;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Астана;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/kontekstnaya-reklama/astana;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Астана;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/lidogeneratsiya/astana;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Астана;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/podderzhka-saytov/astana;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Астана;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/digital-konsalting/astana;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Астана;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/shymkent;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Шымкент;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P1
/web-studiya/dizayn/shymkent;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Шымкент;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/shymkent;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Шымкент;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/kontekstnaya-reklama/shymkent;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Шымкент;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/lidogeneratsiya/shymkent;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Шымкент;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/podderzhka-saytov/shymkent;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Шымкент;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/digital-konsalting/shymkent;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Шымкент;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aktau;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/sozdanie-saitov-v-aktau;Страница отсутствовала в старой SEO-карте;Создание сайтов: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/dizayn/aktau;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/seo-prodvizhenie-sajtov-v-aktau;Страница отсутствовала в старой SEO-карте;SEO-продвижение: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/aktau;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/kontekstnaya-reklama/aktau;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/lidogeneratsiya/aktau;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/podderzhka-saytov/aktau;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/digital-konsalting/aktau;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Актау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/aktobe;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/sozdanie-saitov-v-aktobe;Страница отсутствовала в старой SEO-карте;Создание сайтов: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/dizayn/aktobe;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/seo-prodvizhenie-sajtov-v-aktobe;Страница отсутствовала в старой SEO-карте;SEO-продвижение: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/aktobe;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/kontekstnaya-reklama/aktobe;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/lidogeneratsiya/aktobe;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/podderzhka-saytov/aktobe;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/digital-konsalting/aktobe;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Актобе;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/atyrau;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/sozdanie-saitov-v-atyrau;Страница отсутствовала в старой SEO-карте;Создание сайтов: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/dizayn/atyrau;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/seo-prodvizhenie-sajtov-v-atyrau;Страница отсутствовала в старой SEO-карте;SEO-продвижение: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/atyrau;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/kontekstnaya-reklama/atyrau;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/lidogeneratsiya/atyrau;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/podderzhka-saytov/atyrau;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/digital-konsalting/atyrau;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Атырау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/karaganda;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Караганда;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P1
/web-studiya/dizayn/karaganda;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Караганда;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/karaganda;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Караганда;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/kontekstnaya-reklama/karaganda;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Караганда;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/lidogeneratsiya/karaganda;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Караганда;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/podderzhka-saytov/karaganda;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Караганда;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/digital-konsalting/karaganda;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Караганда;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/kokshetau;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Кокшетау;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
