Кластер;Название кластера;Основной запрос;Дополнительные запросы;Интент;Доступная частотность (макс. запрос, Planner);Сумма частотностей Planner (справочно);GSC клики;GSC показы;Количество уникальных запросов;Существующая страница;Итоговая страница;Решение;Риск каннибализации;Комментарий;Уверенность
seo_geo_shymkent;SEO-продвижение сайтов в Шымкенте;seo продвижение шымкент;"продвижение сайтов шымкент; раскрутка сайтов шымкент";Коммерческий геозависимый;;0;0;42;2;/seo-prodvizhenie-sajtov-v-shimkente;/seo-prodvizhenie-sajtov-v-shimkente;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
seo_geo_karaganda;SEO-продвижение сайтов в Караганде;seo продвижение караганда;"seo караганда; раскрутка сайтов караганда; продвижение сайтов караганда";Коммерческий геозависимый;;0;0;185;3;/seo-prodvizhenie-sajtov-v-karagande;/seo-prodvizhenie-sajtov-v-karagande;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
article_choose_platform;Как выбрать платформу для сайта в Казахстане;как выбрать платформу для сайта;конструктор сайтов для бизнеса;Информационный;;0;0;0;1;/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu;/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_design_petropavlovsk;Как выбрать дизайн сайта, который привлекает клиентов;как выбрать дизайн сайта;нет данных;Информационный;;0;0;0;0;/sozdanie-sajtov-v-petropavlovske-kak-vybrat-dizajn-kotoryj-privlekaet-klientov;/sozdanie-sajtov-v-petropavlovske-kak-vybrat-dizajn-kotoryj-privlekaet-klientov;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_choose_studio_petropavlovsk;Как выбрать веб-студию в Петропавловске;как выбрать веб студию петропавловск;нет данных;Информационный;;0;0;0;0;/sozdanie-sajtov-v-petropavlovske-kak-vybrat-luchshuyu-veb-studiyu;/sozdanie-sajtov-v-petropavlovske-kak-vybrat-luchshuyu-veb-studiyu;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_seo_kz_strategy;Стратегии SEO-продвижения сайтов в Казахстане;стратегии продвижения сайтов в казахстане;"методы seo; методы seo оптимизации; методы seo продвижения; методы раскрутки сайта; способы раскрутки сайта; методы продвижения сайта; методы оптимизации сайта; методы продвижение сайта; способы продвижения сайта; способы оптимизации сайта";Информационный;50;900;0;133;26;/strategii-prodvizheniya-sajtov-v-kazakhstane;/strategii-prodvizheniya-sajtov-v-kazakhstane;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_seo_almaty_guide;Гид по SEO-продвижению для бизнеса в Алматы;seo продвижение в алматы;нет данных;Информационный;;0;0;0;0;/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_seo_petropavlovsk_guide;Гид по SEO-продвижению в Петропавловске;seo продвижение петропавловск;нет данных;Информационный;;0;0;0;0;/seo-prodvizhenie-v-petropavlovske-polnyj-gid-dlya-biznesa;/seo-prodvizhenie-v-petropavlovske-polnyj-gid-dlya-biznesa;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_mobile_site;Мобильная версия сайта;мобильная версия сайта;нет данных;Информационный;;0;0;0;0;/mobilnaya-versiya-sajta;/mobilnaya-versiya-sajta;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_context_ads_importance;Зачем бизнесу контекстная реклама;зачем нужна контекстная реклама;нет данных;Информационный;;0;0;0;0;/vazhnost-kontekstnoj-reklamy-dlya-biznesa;/vazhnost-kontekstnoj-reklamy-dlya-biznesa;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
article_context_ads_kz;Как добиться результата от контекстной рекламы в Казахстане;контекстная реклама в казахстане;нет данных;Информационный;;0;0;0;0;/kontekstnaya-reklama-v-kazakhstane-kak-dobitsya-uspekha-;/kontekstnaya-reklama-v-kazakhstane-kak-dobitsya-uspekha-;UPDATE;Средний;Нужно развести коммерческий и информационный интент и обеспечить уникальный локальный/экспертный контент.;Средняя
case_manufacturing_astana;Кейс производственной компании в Астане;Кейс производственной компании в Астане;нет данных;Навигационный / репутационный;;0;0;0;0;/kejs-proizvodstvennaya-kompaniya-v-astane;/kejs-proizvodstvennaya-kompaniya-v-astane;UPDATE;Низкий;"Сохраняем существующий URL кейса с позициями GSC; содержание требует ручной фактологической проверки.";Средняя
case_raki;Кейс: проект «Раки»;Кейс: проект «Раки»;нет данных;Навигационный / репутационный;;0;0;0;0;/kejs-raki;/kejs-raki;UPDATE;Низкий;"Сохраняем существующий URL кейса с позициями GSC; содержание требует ручной фактологической проверки.";Средняя
case_warm_floor;Кейс: тёплый пол;Кейс: тёплый пол;нет данных;Навигационный / репутационный;;0;0;0;0;/kejs-teplyj-pol;/kejs-teplyj-pol;UPDATE;Низкий;"Сохраняем существующий URL кейса с позициями GSC; содержание требует ручной фактологической проверки.";Средняя
case_laminate;Кейс: ламинат;Кейс: ламинат;нет данных;Навигационный / репутационный;;0;0;0;0;/kejs-laminat;/kejs-laminat;UPDATE;Низкий;"Сохраняем существующий URL кейса с позициями GSC; содержание требует ручной фактологической проверки.";Средняя
legal_privacy;Политика конфиденциальности;Политика конфиденциальности;нет данных;Служебный / юридический;;0;0;0;0;нет;/politika-konfidencialnosti;NEW;Низкий;"Обязательная служебная страница; поисковый спрос не является основанием создания.";Высокая
legal_consent;Согласие на обработку персональных данных;Согласие на обработку персональных данных;нет данных;Служебный / юридический;;0;0;0;0;нет;/soglasie-na-obrabotku-personalnyh-dannyh;NEW;Низкий;"Обязательная служебная страница; поисковый спрос не является основанием создания.";Высокая
legal_offer;Публичная оферта;Публичная оферта;нет данных;Служебный / юридический;;0;0;0;0;нет;/publichnaya-oferta;NEW;Низкий;"Обязательная служебная страница; поисковый спрос не является основанием создания.";Высокая
webstudio_geo_almaty;Веб-студия в Алматы;веб студия алматы;"услуги веб студии алматы; digital агентство алматы; интернет агентство алматы";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/almaty;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_almaty;Услуги дизайнера в Алматы;услуги дизайнера алматы;"веб дизайн алматы; дизайн сайта алматы; брендинг алматы";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/almaty;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_almaty;AEO/GEO-продвижение в Алматы;продвижение в ии поиске алматы;"aeo продвижение алматы; geo продвижение алматы; оптимизация сайта под ии алматы";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/almaty;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_almaty;Контекстная реклама в Алматы;контекстная реклама алматы;"настройка google ads алматы; яндекс директ алматы; реклама сайта алматы";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/almaty;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_almaty;Лидогенерация в Алматы;лидогенерация алматы;"генерация лидов алматы; лидогенерация для бизнеса алматы; заказать лидогенерацию алматы";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/almaty;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_almaty;Поддержка сайтов в Алматы;поддержка сайтов алматы;"техническая поддержка сайта алматы; обслуживание сайтов алматы; сопровождение сайта алматы";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/almaty;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_almaty;Digital-консалтинг в Алматы;digital консалтинг алматы;"интернет маркетинг консалтинг алматы; digital стратегия алматы; аудит интернет маркетинга алматы";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/almaty;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_astana;Веб-студия в Астане;веб студия астана;"услуги веб студии астана; digital агентство астана; интернет агентство астана";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/astana;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_astana;Услуги дизайнера в Астане;услуги дизайнера астана;"веб дизайн астана; дизайн сайта астана; брендинг астана";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/astana;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_astana;AEO/GEO-продвижение в Астане;продвижение в ии поиске астана;"aeo продвижение астана; geo продвижение астана; оптимизация сайта под ии астана";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/astana;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_astana;Контекстная реклама в Астане;контекстная реклама астана;"настройка google ads астана; яндекс директ астана; реклама сайта астана";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/astana;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_astana;Лидогенерация в Астане;лидогенерация астана;"генерация лидов астана; лидогенерация для бизнеса астана; заказать лидогенерацию астана";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/astana;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_astana;Поддержка сайтов в Астане;поддержка сайтов астана;"техническая поддержка сайта астана; обслуживание сайтов астана; сопровождение сайта астана";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/astana;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_astana;Digital-консалтинг в Астане;digital консалтинг астана;"интернет маркетинг консалтинг астана; digital стратегия астана; аудит интернет маркетинга астана";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/astana;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_shymkent;Веб-студия в Шымкенте;веб студия шымкент;"услуги веб студии шымкент; digital агентство шымкент; интернет агентство шымкент";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/shymkent;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_shymkent;Услуги дизайнера в Шымкенте;услуги дизайнера шымкент;"веб дизайн шымкент; дизайн сайта шымкент; брендинг шымкент";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/shymkent;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_shymkent;AEO/GEO-продвижение в Шымкенте;продвижение в ии поиске шымкент;"aeo продвижение шымкент; geo продвижение шымкент; оптимизация сайта под ии шымкент";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/shymkent;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_shymkent;Контекстная реклама в Шымкенте;контекстная реклама шымкент;"настройка google ads шымкент; яндекс директ шымкент; реклама сайта шымкент";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/shymkent;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_shymkent;Лидогенерация в Шымкенте;лидогенерация шымкент;"генерация лидов шымкент; лидогенерация для бизнеса шымкент; заказать лидогенерацию шымкент";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/shymkent;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_shymkent;Поддержка сайтов в Шымкенте;поддержка сайтов шымкент;"техническая поддержка сайта шымкент; обслуживание сайтов шымкент; сопровождение сайта шымкент";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/shymkent;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_shymkent;Digital-консалтинг в Шымкенте;digital консалтинг шымкент;"интернет маркетинг консалтинг шымкент; digital стратегия шымкент; аудит интернет маркетинга шымкент";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/shymkent;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_aktau;Веб-студия в Актау;веб студия актау;"услуги веб студии актау; digital агентство актау; интернет агентство актау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_geo_aktau;Создание сайтов в Актау;создание сайтов актау;"разработка сайтов актау; заказать сайт актау; создание сайта под ключ актау";Коммерческий геозависимый;;0;0;0;4;;/sozdanie-saitov-v-aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_aktau;Услуги дизайнера в Актау;услуги дизайнера актау;"веб дизайн актау; дизайн сайта актау; брендинг актау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
seo_geo_aktau;SEO-продвижение сайтов в Актау;seo продвижение актау;"продвижение сайтов актау; раскрутка сайта актау; seo оптимизация актау";Коммерческий геозависимый;;0;0;0;4;;/seo-prodvizhenie-sajtov-v-aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_aktau;AEO/GEO-продвижение в Актау;продвижение в ии поиске актау;"aeo продвижение актау; geo продвижение актау; оптимизация сайта под ии актау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_aktau;Контекстная реклама в Актау;контекстная реклама актау;"настройка google ads актау; яндекс директ актау; реклама сайта актау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_aktau;Лидогенерация в Актау;лидогенерация актау;"генерация лидов актау; лидогенерация для бизнеса актау; заказать лидогенерацию актау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_aktau;Поддержка сайтов в Актау;поддержка сайтов актау;"техническая поддержка сайта актау; обслуживание сайтов актау; сопровождение сайта актау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_aktau;Digital-консалтинг в Актау;digital консалтинг актау;"интернет маркетинг консалтинг актау; digital стратегия актау; аудит интернет маркетинга актау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/aktau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_aktobe;Веб-студия в Актобе;веб студия актобе;"услуги веб студии актобе; digital агентство актобе; интернет агентство актобе";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_geo_aktobe;Создание сайтов в Актобе;создание сайтов актобе;"разработка сайтов актобе; заказать сайт актобе; создание сайта под ключ актобе";Коммерческий геозависимый;;0;0;0;4;;/sozdanie-saitov-v-aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_aktobe;Услуги дизайнера в Актобе;услуги дизайнера актобе;"веб дизайн актобе; дизайн сайта актобе; брендинг актобе";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
seo_geo_aktobe;SEO-продвижение сайтов в Актобе;seo продвижение актобе;"продвижение сайтов актобе; раскрутка сайта актобе; seo оптимизация актобе";Коммерческий геозависимый;;0;0;0;4;;/seo-prodvizhenie-sajtov-v-aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_aktobe;AEO/GEO-продвижение в Актобе;продвижение в ии поиске актобе;"aeo продвижение актобе; geo продвижение актобе; оптимизация сайта под ии актобе";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_aktobe;Контекстная реклама в Актобе;контекстная реклама актобе;"настройка google ads актобе; яндекс директ актобе; реклама сайта актобе";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_aktobe;Лидогенерация в Актобе;лидогенерация актобе;"генерация лидов актобе; лидогенерация для бизнеса актобе; заказать лидогенерацию актобе";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_aktobe;Поддержка сайтов в Актобе;поддержка сайтов актобе;"техническая поддержка сайта актобе; обслуживание сайтов актобе; сопровождение сайта актобе";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_aktobe;Digital-консалтинг в Актобе;digital консалтинг актобе;"интернет маркетинг консалтинг актобе; digital стратегия актобе; аудит интернет маркетинга актобе";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/aktobe;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_atyrau;Веб-студия в Атырау;веб студия атырау;"услуги веб студии атырау; digital агентство атырау; интернет агентство атырау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_geo_atyrau;Создание сайтов в Атырау;создание сайтов атырау;"разработка сайтов атырау; заказать сайт атырау; создание сайта под ключ атырау";Коммерческий геозависимый;;0;0;0;4;;/sozdanie-saitov-v-atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_atyrau;Услуги дизайнера в Атырау;услуги дизайнера атырау;"веб дизайн атырау; дизайн сайта атырау; брендинг атырау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
seo_geo_atyrau;SEO-продвижение сайтов в Атырау;seo продвижение атырау;"продвижение сайтов атырау; раскрутка сайта атырау; seo оптимизация атырау";Коммерческий геозависимый;;0;0;0;4;;/seo-prodvizhenie-sajtov-v-atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_atyrau;AEO/GEO-продвижение в Атырау;продвижение в ии поиске атырау;"aeo продвижение атырау; geo продвижение атырау; оптимизация сайта под ии атырау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_atyrau;Контекстная реклама в Атырау;контекстная реклама атырау;"настройка google ads атырау; яндекс директ атырау; реклама сайта атырау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_atyrau;Лидогенерация в Атырау;лидогенерация атырау;"генерация лидов атырау; лидогенерация для бизнеса атырау; заказать лидогенерацию атырау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_atyrau;Поддержка сайтов в Атырау;поддержка сайтов атырау;"техническая поддержка сайта атырау; обслуживание сайтов атырау; сопровождение сайта атырау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_atyrau;Digital-консалтинг в Атырау;digital консалтинг атырау;"интернет маркетинг консалтинг атырау; digital стратегия атырау; аудит интернет маркетинга атырау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/atyrau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_karaganda;Веб-студия в Караганде;веб студия караганда;"услуги веб студии караганда; digital агентство караганда; интернет агентство караганда";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/karaganda;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_karaganda;Услуги дизайнера в Караганде;услуги дизайнера караганда;"веб дизайн караганда; дизайн сайта караганда; брендинг караганда";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/karaganda;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_karaganda;AEO/GEO-продвижение в Караганде;продвижение в ии поиске караганда;"aeo продвижение караганда; geo продвижение караганда; оптимизация сайта под ии караганда";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/karaganda;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_karaganda;Контекстная реклама в Караганде;контекстная реклама караганда;"настройка google ads караганда; яндекс директ караганда; реклама сайта караганда";Коммерческий геозависимый;;0;0;4;4;;/web-studiya/kontekstnaya-reklama/karaganda;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_karaganda;Лидогенерация в Караганде;лидогенерация караганда;"генерация лидов караганда; лидогенерация для бизнеса караганда; заказать лидогенерацию караганда";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/karaganda;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_karaganda;Поддержка сайтов в Караганде;поддержка сайтов караганда;"техническая поддержка сайта караганда; обслуживание сайтов караганда; сопровождение сайта караганда";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/karaganda;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_karaganda;Digital-консалтинг в Караганде;digital консалтинг караганда;"интернет маркетинг консалтинг караганда; digital стратегия караганда; аудит интернет маркетинга караганда";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/karaganda;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_kokshetau;Веб-студия в Кокшетау;веб студия кокшетау;"услуги веб студии кокшетау; digital агентство кокшетау; интернет агентство кокшетау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kokshetau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_geo_kokshetau;Создание сайтов в Кокшетау;создание сайтов кокшетау;"разработка сайтов кокшетау; заказать сайт кокшетау; создание сайта под ключ кокшетау";Коммерческий геозависимый;;0;0;0;4;;/sozdanie-saitov-v-kokshetau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_kokshetau;Услуги дизайнера в Кокшетау;услуги дизайнера кокшетау;"веб дизайн кокшетау; дизайн сайта кокшетау; брендинг кокшетау";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/kokshetau;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
