ID;Уровень;Родительский раздел;Название страницы;Назначение;Старый URL;Итоговый URL;H1;Title;Description;Основной интент;Основной запрос;Дополнительные запросы;Доступная частотность;Тип страницы;Индексируемость;Schema.org;Входящие внутренние ссылки;Исходящие внутренние ссылки;Необходимые материалы;Приоритет P1–P4;Этап разработки;Статус публикации;Решение;Обоснование;Уровень уверенности;Кластер;GSC клики URL;GSC показы URL;GSC позиция URL;Активная страница;Длина Title;Длина Description
155;3;Контекстная реклама;Контекстная реклама в Кокшетау;Геозависимая коммерческая страница направления «Контекстная реклама» для компаний в Кокшетау.;;/web-studiya/kontekstnaya-reklama/kokshetau;Контекстная реклама в Кокшетау;Контекстная реклама в Кокшетау | Raskrutov;Настраиваем контекстную рекламу для бизнеса в Кокшетау: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.;Коммерческий геозависимый;контекстная реклама кокшетау;"настройка google ads кокшетау; яндекс директ кокшетау; реклама сайта кокшетау";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/kokshetau";"/web-studiya/kontekstnaya-reklama; /web-studiya/kokshetau; /keysy/prodvizhenie; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau";Уникальный оффер для Кокшетау, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;ppc_geo_kokshetau;;;;Да;42;123
156;3;Лидогенерация;Лидогенерация в Кокшетау;Геозависимая коммерческая страница направления «Лидогенерация» для компаний в Кокшетау.;;/web-studiya/lidogeneratsiya/kokshetau;Лидогенерация для бизнеса в Кокшетау;Лидогенерация в Кокшетау | Raskrutov;Привлекаем целевые заявки для бизнеса в Кокшетау: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.;Коммерческий геозависимый;лидогенерация кокшетау;"генерация лидов кокшетау; лидогенерация для бизнеса кокшетау; заказать лидогенерацию кокшетау";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/kokshetau";"/web-studiya/lidogeneratsiya; /web-studiya/kokshetau; /keysy; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau";Уникальный оффер для Кокшетау, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;leadgen_geo_kokshetau;;;;Да;36;116
157;3;Поддержка сайтов;Поддержка сайтов в Кокшетау;Геозависимая коммерческая страница направления «Поддержка сайтов» для компаний в Кокшетау.;;/web-studiya/podderzhka-saytov/kokshetau;Техническая поддержка сайтов в Кокшетау;Поддержка сайтов в Кокшетау | Raskrutov;Техническая поддержка сайтов компаний в Кокшетау: обновления, безопасность, резервные копии, исправления и развитие проекта.;Коммерческий геозависимый;поддержка сайтов кокшетау;"техническая поддержка сайта кокшетау; обслуживание сайтов кокшетау; сопровождение сайта кокшетау";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/kokshetau";"/web-studiya/podderzhka-saytov; /web-studiya/kokshetau; /keysy/sayty; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau";Уникальный оффер для Кокшетау, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_support_geo_kokshetau;;;;Да;39;124
158;3;Digital-консалтинг;Digital-консалтинг в Кокшетау;Геозависимая коммерческая страница направления «Digital-консалтинг» для компаний в Кокшетау.;;/web-studiya/digital-konsalting/kokshetau;Digital-консалтинг для бизнеса в Кокшетау;Digital-консалтинг в Кокшетау | Raskrutov;Digital-консалтинг для бизнеса в Кокшетау: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.;Коммерческий геозависимый;digital консалтинг кокшетау;"интернет маркетинг консалтинг кокшетау; digital стратегия кокшетау; аудит интернет маркетинга кокшетау";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/digital-konsalting; /web-studiya/kokshetau";"/web-studiya/digital-konsalting; /web-studiya/kokshetau; /keysy; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau";Уникальный оффер для Кокшетау, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;digital_consulting_geo_kokshetau;;;;Да;41;123
159;3;Вебстудия Raskrutov;Веб-студия в Костанае;Геозависимая коммерческая страница направления «Веб-студия» для компаний в Костанае.;;/web-studiya/kostanay;Веб-студия в Костанае;Веб-студия в Костанае: сайты, SEO и реклама | Raskrutov;Веб-студия Raskrutov в Костанае: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.;Коммерческий геозависимый;веб студия костанай;"услуги веб студии костанай; digital агентство костанай; интернет агентство костанай";;Региональный хаб;index, follow после QA уникальности;CollectionPage, BreadcrumbList;"/web-studiya; /sozdanie-saitov-v-kostanae; /web-studiya/dizayn/kostanay; /seo-prodvizhenie-sajtov-v-kostanae; /web-studiya/aeo-geo-prodvizhenie/kostanay; /web-studiya/kontekstnaya-reklama/kostanay; /web-studiya/lidogeneratsiya/kostanay; /web-studiya/podderzhka-saytov/kostanay; /web-studiya/digital-konsalting/kostanay";"/web-studiya; /sozdanie-saitov-v-kostanae; /web-studiya/dizayn/kostanay; /seo-prodvizhenie-sajtov-v-kostanae; /web-studiya/aeo-geo-prodvizhenie/kostanay; /web-studiya/kontekstnaya-reklama/kostanay; /web-studiya/lidogeneratsiya/kostanay; /web-studiya/podderzhka-saytov/kostanay; /web-studiya/digital-konsalting/kostanay";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;webstudio_geo_kostanay;;;;Да;55;129
160;3;Создание сайтов;Создание сайтов в Костанае;Геозависимая коммерческая страница направления «Создание сайтов» для компаний в Костанае.;;/sozdanie-saitov-v-kostanae;Создание сайтов в Костанае;Создание сайтов в Костанае под ключ | Raskrutov;Создаём сайты для бизнеса в Костанае: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.;Коммерческий геозависимый;создание сайтов костанай;"разработка сайтов костанай; заказать сайт костанай; создание сайта под ключ костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /sozdanie-saitov; /web-studiya/kostanay";"/sozdanie-saitov; /web-studiya/kostanay; /keysy/sayty; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_geo_kostanay;;;;Да;47;128
161;3;Услуги дизайнера;Услуги дизайнера в Костанае;Геозависимая коммерческая страница направления «Услуги дизайнера» для компаний в Костанае.;;/web-studiya/dizayn/kostanay;Услуги дизайнера и веб-дизайн в Костанае;Услуги дизайнера в Костанае | Raskrutov;Дизайн для бизнеса в Костанае: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.;Коммерческий геозависимый;услуги дизайнера костанай;"веб дизайн костанай; дизайн сайта костанай; брендинг костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/dizayn; /web-studiya/kostanay";"/web-studiya/dizayn; /web-studiya/kostanay; /keysy/sayty; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;design_geo_kostanay;;;;Да;39;132
162;3;SEO-продвижение;SEO-продвижение сайтов в Костанае;Геозависимая коммерческая страница направления «SEO-продвижение» для компаний в Костанае.;;/seo-prodvizhenie-sajtov-v-kostanae;SEO-продвижение сайтов в Костанае;SEO-продвижение сайтов в Костанае | Raskrutov;SEO-продвижение сайтов компаний в Костанае: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.;Коммерческий геозависимый;seo продвижение костанай;"продвижение сайтов костанай; раскрутка сайта костанай; seo оптимизация костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /seo-prodvizhenie-sajtov; /web-studiya/kostanay";"/seo-prodvizhenie-sajtov; /web-studiya/kostanay; /keysy/prodvizhenie; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;seo_geo_kostanay;;;;Да;45;136
163;3;AEO-продвижение;AEO/GEO-продвижение в Костанае;Геозависимая коммерческая страница направления «AEO/GEO-продвижение» для компаний в Костанае.;;/web-studiya/aeo-geo-prodvizhenie/kostanay;AEO и GEO-продвижение в AI-выдаче в Костанае;AEO/GEO-продвижение в Костанае | Raskrutov;Продвигаем компании из Костанай в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.;Коммерческий геозависимый;продвижение в ии поиске костанай;"aeo продвижение костанай; geo продвижение костанай; оптимизация сайта под ии костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/kostanay";"/web-studiya/aeo-geo-prodvizhenie; /web-studiya/kostanay; /keysy/prodvizhenie; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;aeo_geo_kostanay;;;;Да;42;139
164;3;Контекстная реклама;Контекстная реклама в Костанае;Геозависимая коммерческая страница направления «Контекстная реклама» для компаний в Костанае.;;/web-studiya/kontekstnaya-reklama/kostanay;Контекстная реклама в Костанае;Контекстная реклама в Костанае | Raskrutov;Настраиваем контекстную рекламу для бизнеса в Костанае: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.;Коммерческий геозависимый;контекстная реклама костанай;"настройка google ads костанай; яндекс директ костанай; реклама сайта костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/kostanay";"/web-studiya/kontekstnaya-reklama; /web-studiya/kostanay; /keysy/prodvizhenie; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;ppc_geo_kostanay;;;;Да;42;123
165;3;Лидогенерация;Лидогенерация в Костанае;Геозависимая коммерческая страница направления «Лидогенерация» для компаний в Костанае.;;/web-studiya/lidogeneratsiya/kostanay;Лидогенерация для бизнеса в Костанае;Лидогенерация в Костанае | Raskrutov;Привлекаем целевые заявки для бизнеса в Костанае: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.;Коммерческий геозависимый;лидогенерация костанай;"генерация лидов костанай; лидогенерация для бизнеса костанай; заказать лидогенерацию костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/kostanay";"/web-studiya/lidogeneratsiya; /web-studiya/kostanay; /keysy; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;leadgen_geo_kostanay;;;;Да;36;116
166;3;Поддержка сайтов;Поддержка сайтов в Костанае;Геозависимая коммерческая страница направления «Поддержка сайтов» для компаний в Костанае.;;/web-studiya/podderzhka-saytov/kostanay;Техническая поддержка сайтов в Костанае;Поддержка сайтов в Костанае | Raskrutov;Техническая поддержка сайтов компаний в Костанае: обновления, безопасность, резервные копии, исправления и развитие проекта.;Коммерческий геозависимый;поддержка сайтов костанай;"техническая поддержка сайта костанай; обслуживание сайтов костанай; сопровождение сайта костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/kostanay";"/web-studiya/podderzhka-saytov; /web-studiya/kostanay; /keysy/sayty; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_support_geo_kostanay;;;;Да;39;124
167;3;Digital-консалтинг;Digital-консалтинг в Костанае;Геозависимая коммерческая страница направления «Digital-консалтинг» для компаний в Костанае.;;/web-studiya/digital-konsalting/kostanay;Digital-консалтинг для бизнеса в Костанае;Digital-консалтинг в Костанае | Raskrutov;Digital-консалтинг для бизнеса в Костанае: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.;Коммерческий геозависимый;digital консалтинг костанай;"интернет маркетинг консалтинг костанай; digital стратегия костанай; аудит интернет маркетинга костанай";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/digital-konsalting; /web-studiya/kostanay";"/web-studiya/digital-konsalting; /web-studiya/kostanay; /keysy; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae";Уникальный оффер для Костанай, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;digital_consulting_geo_kostanay;;;;Да;41;123
168;3;Вебстудия Raskrutov;Веб-студия в Кызылорде;Геозависимая коммерческая страница направления «Веб-студия» для компаний в Кызылорде.;;/web-studiya/kyzylorda;Веб-студия в Кызылорде;Веб-студия в Кызылорде: сайты, SEO и реклама | Raskrutov;Веб-студия Raskrutov в Кызылорде: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.;Коммерческий геозависимый;веб студия кызылорда;"услуги веб студии кызылорда; digital агентство кызылорда; интернет агентство кызылорда";;Региональный хаб;index, follow после QA уникальности;CollectionPage, BreadcrumbList;"/web-studiya; /sozdanie-saitov-v-kyzylorde; /web-studiya/dizayn/kyzylorda; /seo-prodvizhenie-sajtov-v-kyzylorde; /web-studiya/aeo-geo-prodvizhenie/kyzylorda; /web-studiya/kontekstnaya-reklama/kyzylorda; /web-studiya/lidogeneratsiya/kyzylorda; /web-studiya/podderzhka-saytov/kyzylorda; /web-studiya/digital-konsalting/kyzylorda";"/web-studiya; /sozdanie-saitov-v-kyzylorde; /web-studiya/dizayn/kyzylorda; /seo-prodvizhenie-sajtov-v-kyzylorde; /web-studiya/aeo-geo-prodvizhenie/kyzylorda; /web-studiya/kontekstnaya-reklama/kyzylorda; /web-studiya/lidogeneratsiya/kyzylorda; /web-studiya/podderzhka-saytov/kyzylorda; /web-studiya/digital-konsalting/kyzylorda";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;webstudio_geo_kyzylorda;;;;Да;56;130
169;3;Создание сайтов;Создание сайтов в Кызылорде;Геозависимая коммерческая страница направления «Создание сайтов» для компаний в Кызылорде.;;/sozdanie-saitov-v-kyzylorde;Создание сайтов в Кызылорде;Создание сайтов в Кызылорде под ключ | Raskrutov;Создаём сайты для бизнеса в Кызылорде: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.;Коммерческий геозависимый;создание сайтов кызылорда;"разработка сайтов кызылорда; заказать сайт кызылорда; создание сайта под ключ кызылорда";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /sozdanie-saitov; /web-studiya/kyzylorda";"/sozdanie-saitov; /web-studiya/kyzylorda; /keysy/sayty; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_geo_kyzylorda;;;;Да;48;129
170;3;Услуги дизайнера;Услуги дизайнера в Кызылорде;Геозависимая коммерческая страница направления «Услуги дизайнера» для компаний в Кызылорде.;;/web-studiya/dizayn/kyzylorda;Услуги дизайнера и веб-дизайн в Кызылорде;Услуги дизайнера в Кызылорде | Raskrutov;Дизайн для бизнеса в Кызылорде: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.;Коммерческий геозависимый;услуги дизайнера кызылорда;"веб дизайн кызылорда; дизайн сайта кызылорда; брендинг кызылорда";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/dizayn; /web-studiya/kyzylorda";"/web-studiya/dizayn; /web-studiya/kyzylorda; /keysy/sayty; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;design_geo_kyzylorda;;;;Да;40;133
171;3;SEO-продвижение;SEO-продвижение сайтов в Кызылорде;Геозависимая коммерческая страница направления «SEO-продвижение» для компаний в Кызылорде.;;/seo-prodvizhenie-sajtov-v-kyzylorde;SEO-продвижение сайтов в Кызылорде;SEO-продвижение сайтов в Кызылорде | Raskrutov;SEO-продвижение сайтов компаний в Кызылорде: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.;Коммерческий геозависимый;seo продвижение кызылорда;"продвижение сайтов кызылорда; раскрутка сайта кызылорда; seo оптимизация кызылорда";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /seo-prodvizhenie-sajtov; /web-studiya/kyzylorda";"/seo-prodvizhenie-sajtov; /web-studiya/kyzylorda; /keysy/prodvizhenie; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;seo_geo_kyzylorda;;;;Да;46;137
172;3;AEO-продвижение;AEO/GEO-продвижение в Кызылорде;Геозависимая коммерческая страница направления «AEO/GEO-продвижение» для компаний в Кызылорде.;;/web-studiya/aeo-geo-prodvizhenie/kyzylorda;AEO и GEO-продвижение в AI-выдаче в Кызылорде;AEO/GEO-продвижение в Кызылорде | Raskrutov;Продвигаем компании из Кызылорда в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.;Коммерческий геозависимый;продвижение в ии поиске кызылорда;"aeo продвижение кызылорда; geo продвижение кызылорда; оптимизация сайта под ии кызылорда";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/kyzylorda";"/web-studiya/aeo-geo-prodvizhenie; /web-studiya/kyzylorda; /keysy/prodvizhenie; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;aeo_geo_kyzylorda;;;;Да;43;140
173;3;Контекстная реклама;Контекстная реклама в Кызылорде;Геозависимая коммерческая страница направления «Контекстная реклама» для компаний в Кызылорде.;;/web-studiya/kontekstnaya-reklama/kyzylorda;Контекстная реклама в Кызылорде;Контекстная реклама в Кызылорде | Raskrutov;Настраиваем контекстную рекламу для бизнеса в Кызылорде: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.;Коммерческий геозависимый;контекстная реклама кызылорда;"настройка google ads кызылорда; яндекс директ кызылорда; реклама сайта кызылорда";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/kyzylorda";"/web-studiya/kontekstnaya-reklama; /web-studiya/kyzylorda; /keysy/prodvizhenie; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;ppc_geo_kyzylorda;;;;Да;43;124
174;3;Лидогенерация;Лидогенерация в Кызылорде;Геозависимая коммерческая страница направления «Лидогенерация» для компаний в Кызылорде.;;/web-studiya/lidogeneratsiya/kyzylorda;Лидогенерация для бизнеса в Кызылорде;Лидогенерация в Кызылорде | Raskrutov;Привлекаем целевые заявки для бизнеса в Кызылорде: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.;Коммерческий геозависимый;лидогенерация кызылорда;"генерация лидов кызылорда; лидогенерация для бизнеса кызылорда; заказать лидогенерацию кызылорда";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/kyzylorda";"/web-studiya/lidogeneratsiya; /web-studiya/kyzylorda; /keysy; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;leadgen_geo_kyzylorda;;;;Да;37;117
175;3;Поддержка сайтов;Поддержка сайтов в Кызылорде;Геозависимая коммерческая страница направления «Поддержка сайтов» для компаний в Кызылорде.;;/web-studiya/podderzhka-saytov/kyzylorda;Техническая поддержка сайтов в Кызылорде;Поддержка сайтов в Кызылорде | Raskrutov;Техническая поддержка сайтов компаний в Кызылорде: обновления, безопасность, резервные копии, исправления и развитие проекта.;Коммерческий геозависимый;поддержка сайтов кызылорда;"техническая поддержка сайта кызылорда; обслуживание сайтов кызылорда; сопровождение сайта кызылорда";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/kyzylorda";"/web-studiya/podderzhka-saytov; /web-studiya/kyzylorda; /keysy/sayty; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde";Уникальный оффер для Кызылорда, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P3;Региональные страницы — этап 3;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_support_geo_kyzylorda;;;;Да;40;125
