ID,Уровень,Родительский раздел,Название страницы,Итоговый URL,H1,Title,Description,Тип страницы,Индексируемость,Schema.org,Приоритет,Этап разработки,Статус публикации,Решение,Входящие внутренние ссылки,Исходящие внутренние ссылки
82,2,Блог,Как выбрать платформу для сайта в Казахстане,/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu,Как выбрать платформу для создания сайта в Казахстане,Как выбрать платформу для сайта в Казахстане | Raskrutov,"Сравниваем критерии выбора платформы для бизнес-сайта: задачи, масштабирование, SEO, интеграции, поддержка и стоимость владения.",Статья,"index, follow","Article, BreadcrumbList",P2,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
83,2,Блог,"Как выбрать дизайн сайта, который привлекает клиентов",/sozdanie-sajtov-v-petropavlovske-kak-vybrat-dizajn-kotoryj-privlekaet-klientov,"Как выбрать дизайн сайта, который привлекает клиентов",Как выбрать дизайн сайта для бизнеса | Raskrutov,"Практические критерии выбора дизайна сайта: структура, доверие, мобильная версия, читаемость, CTA и соответствие задачам бизнеса.",Статья,"index, follow","Article, BreadcrumbList",P2,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
84,2,Блог,Как выбрать веб-студию в Петропавловске,/sozdanie-sajtov-v-petropavlovske-kak-vybrat-luchshuyu-veb-studiyu,Как выбрать веб-студию в Петропавловске,Как выбрать веб-студию в Петропавловске | Raskrutov,"Чек-лист выбора подрядчика: портфолио, процессы, SEO-фундамент, аналитика, поддержка, договор и критерии оценки результата.",Статья,"index, follow","Article, BreadcrumbList",P2,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
85,2,Блог,Стратегии SEO-продвижения сайтов в Казахстане,/strategii-prodvizheniya-sajtov-v-kazakhstane,Стратегии SEO-продвижения сайтов в Казахстане,Стратегии SEO-продвижения в Казахстане | Raskrutov,"Разбираем рабочую SEO-стратегию: семантика, структура, коммерческие факторы, контент, техника, локальная оптимизация и аналитика.",Статья,"index, follow","Article, BreadcrumbList",P2,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
86,2,Блог,Гид по SEO-продвижению для бизнеса в Алматы,/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa,Гид по SEO-продвижению для бизнеса в Алматы,SEO-продвижение в Алматы: гид для бизнеса | Raskrutov,"Как выстроить SEO-продвижение сайта в Алматы: спрос, конкуренты, структура, локальная оптимизация, контент и измерение результата.",Статья,"index, follow","Article, BreadcrumbList",P3,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
87,2,Блог,Гид по SEO-продвижению в Петропавловске,/seo-prodvizhenie-v-petropavlovske-polnyj-gid-dlya-biznesa,Гид по SEO-продвижению в Петропавловске,SEO-продвижение в Петропавловске: гид | Raskrutov,"Практический гид по локальному SEO в Петропавловске и СКО: семантика, структура, карты, контент и аналитика.",Статья,"index, follow","Article, BreadcrumbList",P3,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
88,2,Блог,Мобильная версия сайта,/mobilnaya-versiya-sajta,Мобильная версия сайта: требования и влияние на конверсию,Мобильная версия сайта: что важно | Raskrutov,"Разбираем адаптивность, скорость, удобство форм и навигации, Core Web Vitals и влияние мобильной версии на заявки и SEO.",Статья,"index, follow","Article, BreadcrumbList",P3,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
89,2,Блог,Зачем бизнесу контекстная реклама,/vazhnost-kontekstnoj-reklamy-dlya-biznesa,Зачем бизнесу контекстная реклама,Контекстная реклама для бизнеса: когда нужна | Raskrutov,"Объясняем, когда контекстная реклама эффективна, как связать её с посадочной страницей, аналитикой и оценкой качества заявок.",Статья,"index, follow","Article, BreadcrumbList",P3,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
90,2,Блог,Как добиться результата от контекстной рекламы в Казахстане,/kontekstnaya-reklama-v-kazakhstane-kak-dobitsya-uspekha-,Как добиться результата от контекстной рекламы в Казахстане,Контекстная реклама в Казахстане: практический гид | Raskrutov,"Разбираем подготовку кампании, семантику, объявления, посадочные страницы, аналитику и оптимизацию контекстной рекламы в Казахстане.",Статья,"index, follow","Article, BreadcrumbList",P3,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/blog,/; /blog; /seo-prodvizhenie-sajtov; /sozdanie-saitov
91,2,Главная,Контакты Raskrutov,/kontakti,Контакты Raskrutov,Контакты веб-студии Raskrutov,"Телефон, мессенджеры и адрес Raskrutov. Обсудите создание сайта, продвижение, рекламу или CRM.",Контакты,"index, follow","ContactPage, LocalBusiness, BreadcrumbList",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/,/
92,2,Главная,Политика конфиденциальности,/politika-konfidencialnosti,Политика конфиденциальности,Политика конфиденциальности | Raskrutov,Политика конфиденциальности для пользователей сайта Raskrutov.,Юридическая,"noindex, follow",WebPage,P1,Структура/SEO,Не опубликована,NEW,/,/
93,2,Главная,Согласие на обработку персональных данных,/soglasie-na-obrabotku-personalnyh-dannyh,Согласие на обработку персональных данных,Согласие на обработку персональных данных | Raskrutov,Согласие на обработку персональных данных для пользователей сайта Raskrutov.,Юридическая,"noindex, follow",WebPage,P1,Структура/SEO,Не опубликована,NEW,/,/
94,2,Главная,Публичная оферта,/publichnaya-oferta,Публичная оферта,Публичная оферта | Raskrutov,Публичная оферта для пользователей сайта Raskrutov.,Юридическая,"noindex, follow",WebPage,P1,Структура/SEO,Не опубликована,NEW,/,/
95,3,Вебстудия Raskrutov,Веб-студия в Алматы,/web-studiya/almaty,Веб-студия в Алматы,"Веб-студия в Алматы: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Алматы: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P1,Региональные страницы — этап 1,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-almaty; /web-studiya/dizayn/almaty; /seo-prodvizhenie-sajtov-v-almaty; /web-studiya/aeo-geo-prodvizhenie/almaty; /web-studiya/kontekstnaya-reklama/almaty; /web-studiya/lidogeneratsiya/almaty; /web-studiya/podderzhka-saytov/almaty; /web-studiya/digital-konsalting/almaty,/web-studiya; /sozdanie-saitov-v-almaty; /web-studiya/dizayn/almaty; /seo-prodvizhenie-sajtov-v-almaty; /web-studiya/aeo-geo-prodvizhenie/almaty; /web-studiya/kontekstnaya-reklama/almaty; /web-studiya/lidogeneratsiya/almaty; /web-studiya/podderzhka-saytov/almaty; /web-studiya/digital-konsalting/almaty
96,3,Услуги дизайнера,Услуги дизайнера в Алматы,/web-studiya/dizayn/almaty,Услуги дизайнера и веб-дизайн в Алматы,Услуги дизайнера в Алматы | Raskrutov,"Дизайн для бизнеса в Алматы: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/almaty,/web-studiya/dizayn; /web-studiya/almaty; /keysy/sayty; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
97,3,AEO-продвижение,AEO/GEO-продвижение в Алматы,/web-studiya/aeo-geo-prodvizhenie/almaty,AEO и GEO-продвижение в AI-выдаче в Алматы,AEO/GEO-продвижение в Алматы | Raskrutov,"Продвигаем компании из Алматы в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/almaty,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/almaty; /keysy/prodvizhenie; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
98,3,Контекстная реклама,Контекстная реклама в Алматы,/web-studiya/kontekstnaya-reklama/almaty,Контекстная реклама в Алматы,Контекстная реклама в Алматы | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Алматы: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/almaty,/web-studiya/kontekstnaya-reklama; /web-studiya/almaty; /keysy/prodvizhenie; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
99,3,Лидогенерация,Лидогенерация в Алматы,/web-studiya/lidogeneratsiya/almaty,Лидогенерация для бизнеса в Алматы,Лидогенерация в Алматы | Raskrutov,"Привлекаем целевые заявки для бизнеса в Алматы: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/almaty,/web-studiya/lidogeneratsiya; /web-studiya/almaty; /keysy; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
100,3,Поддержка сайтов,Поддержка сайтов в Алматы,/web-studiya/podderzhka-saytov/almaty,Техническая поддержка сайтов в Алматы,Поддержка сайтов в Алматы | Raskrutov,"Техническая поддержка сайтов компаний в Алматы: обновления, безопасность, резервные копии, исправления и развитие проекта.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/almaty,/web-studiya/podderzhka-saytov; /web-studiya/almaty; /keysy/sayty; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
101,3,Digital-консалтинг,Digital-консалтинг в Алматы,/web-studiya/digital-konsalting/almaty,Digital-консалтинг для бизнеса в Алматы,Digital-консалтинг в Алматы | Raskrutov,"Digital-консалтинг для бизнеса в Алматы: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/digital-konsalting; /web-studiya/almaty,/web-studiya/digital-konsalting; /web-studiya/almaty; /keysy; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
102,3,Вебстудия Raskrutov,Веб-студия в Астане,/web-studiya/astana,Веб-студия в Астане,"Веб-студия в Астане: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Астане: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P1,Региональные страницы — этап 1,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-astane; /web-studiya/dizayn/astana; /seo-prodvizhenie-sajtov-v-astane; /web-studiya/aeo-geo-prodvizhenie/astana; /web-studiya/kontekstnaya-reklama/astana; /web-studiya/lidogeneratsiya/astana; /web-studiya/podderzhka-saytov/astana; /web-studiya/digital-konsalting/astana,/web-studiya; /sozdanie-saitov-v-astane; /web-studiya/dizayn/astana; /seo-prodvizhenie-sajtov-v-astane; /web-studiya/aeo-geo-prodvizhenie/astana; /web-studiya/kontekstnaya-reklama/astana; /web-studiya/lidogeneratsiya/astana; /web-studiya/podderzhka-saytov/astana; /web-studiya/digital-konsalting/astana
103,3,Услуги дизайнера,Услуги дизайнера в Астане,/web-studiya/dizayn/astana,Услуги дизайнера и веб-дизайн в Астане,Услуги дизайнера в Астане | Raskrutov,"Дизайн для бизнеса в Астане: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/astana,/web-studiya/dizayn; /web-studiya/astana; /keysy/sayty; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
104,3,AEO-продвижение,AEO/GEO-продвижение в Астане,/web-studiya/aeo-geo-prodvizhenie/astana,AEO и GEO-продвижение в AI-выдаче в Астане,AEO/GEO-продвижение в Астане | Raskrutov,"Продвигаем компании из Астана в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/astana,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/astana; /keysy/prodvizhenie; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
105,3,Контекстная реклама,Контекстная реклама в Астане,/web-studiya/kontekstnaya-reklama/astana,Контекстная реклама в Астане,Контекстная реклама в Астане | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Астане: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/astana,/web-studiya/kontekstnaya-reklama; /web-studiya/astana; /keysy/prodvizhenie; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
106,3,Лидогенерация,Лидогенерация в Астане,/web-studiya/lidogeneratsiya/astana,Лидогенерация для бизнеса в Астане,Лидогенерация в Астане | Raskrutov,"Привлекаем целевые заявки для бизнеса в Астане: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/astana,/web-studiya/lidogeneratsiya; /web-studiya/astana; /keysy; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
107,3,Поддержка сайтов,Поддержка сайтов в Астане,/web-studiya/podderzhka-saytov/astana,Техническая поддержка сайтов в Астане,Поддержка сайтов в Астане | Raskrutov,"Техническая поддержка сайтов компаний в Астане: обновления, безопасность, резервные копии, исправления и развитие проекта.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/astana,/web-studiya/podderzhka-saytov; /web-studiya/astana; /keysy/sayty; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
108,3,Digital-консалтинг,Digital-консалтинг в Астане,/web-studiya/digital-konsalting/astana,Digital-консалтинг для бизнеса в Астане,Digital-консалтинг в Астане | Raskrutov,"Digital-консалтинг для бизнеса в Астане: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/digital-konsalting; /web-studiya/astana,/web-studiya/digital-konsalting; /web-studiya/astana; /keysy; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
109,3,Вебстудия Raskrutov,Веб-студия в Шымкенте,/web-studiya/shymkent,Веб-студия в Шымкенте,"Веб-студия в Шымкенте: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Шымкенте: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P1,Региональные страницы — этап 1,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-shimkente; /web-studiya/dizayn/shymkent; /seo-prodvizhenie-sajtov-v-shimkente; /web-studiya/aeo-geo-prodvizhenie/shymkent; /web-studiya/kontekstnaya-reklama/shymkent; /web-studiya/lidogeneratsiya/shymkent; /web-studiya/podderzhka-saytov/shymkent; /web-studiya/digital-konsalting/shymkent,/web-studiya; /sozdanie-saitov-v-shimkente; /web-studiya/dizayn/shymkent; /seo-prodvizhenie-sajtov-v-shimkente; /web-studiya/aeo-geo-prodvizhenie/shymkent; /web-studiya/kontekstnaya-reklama/shymkent; /web-studiya/lidogeneratsiya/shymkent; /web-studiya/podderzhka-saytov/shymkent; /web-studiya/digital-konsalting/shymkent
110,3,Услуги дизайнера,Услуги дизайнера в Шымкенте,/web-studiya/dizayn/shymkent,Услуги дизайнера и веб-дизайн в Шымкенте,Услуги дизайнера в Шымкенте | Raskrutov,"Дизайн для бизнеса в Шымкенте: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/shymkent,/web-studiya/dizayn; /web-studiya/shymkent; /keysy/sayty; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
111,3,AEO-продвижение,AEO/GEO-продвижение в Шымкенте,/web-studiya/aeo-geo-prodvizhenie/shymkent,AEO и GEO-продвижение в AI-выдаче в Шымкенте,AEO/GEO-продвижение в Шымкенте | Raskrutov,"Продвигаем компании из Шымкент в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/shymkent,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/shymkent; /keysy/prodvizhenie; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
112,3,Контекстная реклама,Контекстная реклама в Шымкенте,/web-studiya/kontekstnaya-reklama/shymkent,Контекстная реклама в Шымкенте,Контекстная реклама в Шымкенте | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Шымкенте: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/shymkent,/web-studiya/kontekstnaya-reklama; /web-studiya/shymkent; /keysy/prodvizhenie; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
113,3,Лидогенерация,Лидогенерация в Шымкенте,/web-studiya/lidogeneratsiya/shymkent,Лидогенерация для бизнеса в Шымкенте,Лидогенерация в Шымкенте | Raskrutov,"Привлекаем целевые заявки для бизнеса в Шымкенте: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/shymkent,/web-studiya/lidogeneratsiya; /web-studiya/shymkent; /keysy; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
114,3,Поддержка сайтов,Поддержка сайтов в Шымкенте,/web-studiya/podderzhka-saytov/shymkent,Техническая поддержка сайтов в Шымкенте,Поддержка сайтов в Шымкенте | Raskrutov,"Техническая поддержка сайтов компаний в Шымкенте: обновления, безопасность, резервные копии, исправления и развитие проекта.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/shymkent,/web-studiya/podderzhka-saytov; /web-studiya/shymkent; /keysy/sayty; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
115,3,Digital-консалтинг,Digital-консалтинг в Шымкенте,/web-studiya/digital-konsalting/shymkent,Digital-консалтинг для бизнеса в Шымкенте,Digital-консалтинг в Шымкенте | Raskrutov,"Digital-консалтинг для бизнеса в Шымкенте: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/digital-konsalting; /web-studiya/shymkent,/web-studiya/digital-konsalting; /web-studiya/shymkent; /keysy; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
116,3,Вебстудия Raskrutov,Веб-студия в Актау,/web-studiya/aktau,Веб-студия в Актау,"Веб-студия в Актау: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Актау: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-aktau; /web-studiya/dizayn/aktau; /seo-prodvizhenie-sajtov-v-aktau; /web-studiya/aeo-geo-prodvizhenie/aktau; /web-studiya/kontekstnaya-reklama/aktau; /web-studiya/lidogeneratsiya/aktau; /web-studiya/podderzhka-saytov/aktau; /web-studiya/digital-konsalting/aktau,/web-studiya; /sozdanie-saitov-v-aktau; /web-studiya/dizayn/aktau; /seo-prodvizhenie-sajtov-v-aktau; /web-studiya/aeo-geo-prodvizhenie/aktau; /web-studiya/kontekstnaya-reklama/aktau; /web-studiya/lidogeneratsiya/aktau; /web-studiya/podderzhka-saytov/aktau; /web-studiya/digital-konsalting/aktau
117,3,Создание сайтов,Создание сайтов в Актау,/sozdanie-saitov-v-aktau,Создание сайтов в Актау,Создание сайтов в Актау под ключ | Raskrutov,"Создаём сайты для бизнеса в Актау: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Актау), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov; /web-studiya/aktau,/sozdanie-saitov; /web-studiya/aktau; /keysy/sayty; /sozdanie-saitov-v-aktau; /seo-prodvizhenie-sajtov-v-aktau
118,3,Услуги дизайнера,Услуги дизайнера в Актау,/web-studiya/dizayn/aktau,Услуги дизайнера и веб-дизайн в Актау,Услуги дизайнера в Актау | Raskrutov,"Дизайн для бизнеса в Актау: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Актау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/aktau,/web-studiya/dizayn; /web-studiya/aktau; /keysy/sayty; /sozdanie-saitov-v-aktau; /seo-prodvizhenie-sajtov-v-aktau
119,3,SEO-продвижение,SEO-продвижение сайтов в Актау,/seo-prodvizhenie-sajtov-v-aktau,SEO-продвижение сайтов в Актау,SEO-продвижение сайтов в Актау | Raskrutov,"SEO-продвижение сайтов компаний в Актау: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Актау), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /seo-prodvizhenie-sajtov; /web-studiya/aktau,/seo-prodvizhenie-sajtov; /web-studiya/aktau; /keysy/prodvizhenie; /sozdanie-saitov-v-aktau; /seo-prodvizhenie-sajtov-v-aktau
120,3,AEO-продвижение,AEO/GEO-продвижение в Актау,/web-studiya/aeo-geo-prodvizhenie/aktau,AEO и GEO-продвижение в AI-выдаче в Актау,AEO/GEO-продвижение в Актау | Raskrutov,"Продвигаем компании из Актау в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Актау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/aktau,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/aktau; /keysy/prodvizhenie; /sozdanie-saitov-v-aktau; /seo-prodvizhenie-sajtov-v-aktau
121,3,Контекстная реклама,Контекстная реклама в Актау,/web-studiya/kontekstnaya-reklama/aktau,Контекстная реклама в Актау,Контекстная реклама в Актау | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Актау: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Актау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/aktau,/web-studiya/kontekstnaya-reklama; /web-studiya/aktau; /keysy/prodvizhenie; /sozdanie-saitov-v-aktau; /seo-prodvizhenie-sajtov-v-aktau
122,3,Лидогенерация,Лидогенерация в Актау,/web-studiya/lidogeneratsiya/aktau,Лидогенерация для бизнеса в Актау,Лидогенерация в Актау | Raskrutov,"Привлекаем целевые заявки для бизнеса в Актау: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Актау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/aktau,/web-studiya/lidogeneratsiya; /web-studiya/aktau; /keysy; /sozdanie-saitov-v-aktau; /seo-prodvizhenie-sajtov-v-aktau
